,id,name,country_code,country,hand,age,url,date_accessed
0,28761,DVORKIN Mary,ISR,ISRAEL,Left,24,https://fie.org/athletes/28761,2021-05-13 21:42:17
1,43803,SHI Yue,CHN,CHINA,Right,22,https://fie.org/athletes/43803,2021-05-13 21:35:13
2,46080,TANG Nga Hei,MAC,"MACAO, CHINA",Right,20,https://fie.org/athletes/46080,2021-05-13 21:46:21
3,46481,WONAME Kelsey Victoria Afriyie,GHA,GHANA,Right,17,https://fie.org/athletes/46481,2021-05-13 21:48:14
4,47075,BRECHERET Carolina,BRA,BRAZIL,Right,16,https://fie.org/athletes/47075,2021-05-13 21:50:07
5,37506,DA SILVA Kathryn,RSA,SOUTH AFRICA,Left,19,https://fie.org/athletes/37506,2021-05-13 21:44:38
6,45971,KOUTOGLO Abla Francoise,TOG,TOGO,Right,22,https://fie.org/athletes/45971,2021-05-13 21:45:35
7,20482,YANAOKA Haruka,JPN,JAPAN,Right,26,https://fie.org/athletes/20482,2021-05-13 21:41:41
8,22533,GOLDIE Alanna,CAN,CANADA,Right,27,https://fie.org/athletes/22533,2021-05-13 21:50:14
9,39433,NEMCOVA Stepanka,CZE,CZECH REPUBLIC,Right,20,https://fie.org/athletes/39433,2021-05-13 21:52:11
10,28701,CIPRESSA Erica,ITA,ITALY,Right,24,https://fie.org/athletes/28701,2021-05-13 21:41:48
11,20514,THIBUS Ysaora,FRA,FRANCE,Right,29,https://fie.org/athletes/20514,2021-05-13 21:41:51
12,43554,HANY Noha,EGY,EGYPT,Right,20,https://fie.org/athletes/43554,2021-05-13 21:33:47
13,28713,MORI Chihiro,JPN,JAPAN,Right,23,https://fie.org/athletes/28713,2021-05-13 21:41:56
14,29233,HONG Hyo Jin,KOR,KOREA,Right,27,https://fie.org/athletes/29233,2021-05-13 21:44:22
15,4164,MOHAMED Aida,HUN,HUNGARY,Left,45,https://fie.org/athletes/4164,2021-05-13 21:42:08
16,33352,WANGLEMBAM Thoibi Devi,IND,INDIA,Right,23,https://fie.org/athletes/33352,2021-05-13 21:21:22
17,17481,SAUER Anne,GER,GERMANY,Right,30,https://fie.org/athletes/17481,2021-05-13 21:23:39
18,34890,CHEN Qingyuan,CHN,CHINA,Right,24,https://fie.org/athletes/34890,2021-05-13 21:31:22
19,33865,TANGHERLINI Elena,ITA,ITALY,Left,23,https://fie.org/athletes/33865,2021-05-13 21:23:42
20,20041,HAMMAD Ghareeba,QAT,QATAR,Right,32,https://fie.org/athletes/20041,2021-05-13 21:39:38
21,21581,MONACO Beatrice,ITA,ITALY,Left,29,https://fie.org/athletes/21581,2021-05-13 21:46:37
22,37965,TARANENKO Anna,UKR,UKRAINE,Left,20,https://fie.org/athletes/37965,2021-05-13 21:46:40
23,8280,OH Hye Mi,KOR,KOREA,Left,35,https://fie.org/athletes/8280,2021-05-13 21:19:41
24,40025,AZUMA Sera,JPN,JAPAN,Right,21,https://fie.org/athletes/40025,2021-05-13 21:53:53
25,9309,RYAN Kelleigh,CAN,CANADA,Right,34,https://fie.org/athletes/9309,2021-05-13 21:23:50
26,30818,BIANCHIN Elisabetta,ITA,ITALY,Right,24,https://fie.org/athletes/30818,2021-05-13 21:50:23
27,27237,ZAGIDULLINA Adelina,RUS,RUSSIA,Right,28,https://fie.org/athletes/27237,2021-05-13 21:34:12
28,36458,POSGAY Zsofia,GER,GERMANY,Left,22,https://fie.org/athletes/36458,2021-05-13 21:39:53
29,25197,CHAE Songoh,KOR,KOREA,Right,32,https://fie.org/athletes/25197,2021-05-13 21:21:41
30,13428,NISHIOKA Shiho,JPN,JAPAN,Right,32,https://fie.org/athletes/13428,2021-05-13 21:46:47
31,10357,LIM Seungmin,KOR,KOREA,Right,36,https://fie.org/athletes/10357,2021-05-13 21:31:29
32,19574,BIMOVA Andrea,CZE,CZECH REPUBLIC,Left,28,https://fie.org/athletes/19574,2021-05-13 21:37:42
33,30327,WALCZYK Julia,POL,POLAND,Right,23,https://fie.org/athletes/30327,2021-05-13 21:48:51
34,34433,ELSHARKAWY Yara,EGY,EGYPT,Left,22,https://fie.org/athletes/34433,2021-05-13 21:25:37
